City,total_deals,total_amount
Schwarzenberg,1,9000.0
Schwarzheide,1,11000.0
Schweinfurt,4,22500.0
Schwepnitz,1,3500.0
Schwerin,4,44000.0
Schwäbisch Gmünd,1,5000.0
Schwäbisch Hall,3,9500.0
Schönwald,1,2500.0
Seesen,1,11000.0
Seevetal,3,21500.0
Selm,1,11000.0
Semej,1,3000.0
Senden,1,11000.0
Senftenberg,1,11000.0
Sexau,1,11000.0
Siegburg,2,22500.0
Siegen,5,49000.0
Sigmarszell,1,11000.0
Sindelfingen,2,14500.0
Singen,1,9000.0
Solingen,1,9000.0
Sollstedt,1,4000.0
Sonneberg,1,11000.0
Speichersdorf,1,11000.0
Speyer,3,23200.0
Stade,1,11500.0
Stadecken-Elsheim,1,11000.0
Starnberg,1,3500.0
Staufen im Breisgau,1,11000.0
Stein,1,11000.0
Steinau an der Straße,1,11000.0
Steinbach,1,11000.0
Steinfurt,1,11000.0
Stelle,1,11000.0
Stendal,1,11000.0
Stolberg,2,16000.0
Stralsund,4,44000.0
Straubing,1,11000.0
Stuhr,1,11500.0
Stuttgart,20,184500.0
Sulzbach,1,11000.0
Sundern,1,11000.0
Szczecin,1,3500.0
Südlohn,1,11000.0
Süßen,1,9000.0
Słubice,1,3000.0
Słupsk,1,2500.0
Taraz,1,2500.0
Tashkent,2,8500.0
Tatabanya,2,4000.0
Tengen,1,3500.0
Teterow,1,11000.0
Tettnang,1,3500.0
Teublitz,2,22000.0
Thalmassing,1,3500.0
Theres,1,9000.0
Tittmoning,1,4000.0
Torgau,1,4000.0
Trebgast,1,11000.0
Triberg,2,4000.0
Trier,8,73000.0
Troisdorf,4,35000.0
Trossingen,1,5000.0
Tuttlingen,2,15000.0
Tutzing,1,11000.0
Twistringen,1,9000.0
Tönning,1,4500.0
Tübingen,2,22500.0
Uhldingen-Mühlhofen,1,11000.0
Ulm,6,52000.0
Unterhaching,3,27000.0
Unterschneidheim,1,11000.0
Untersiemau,1,11000.0
Urbach,1,4000.0
Usingen,1,11000.0
Vaihingen an der Enz,1,11000.0
Vechta,2,16000.0
Velden,1,11000.0
Veldenz,1,3000.0
Vellberg,1,4000.0
Verden,1,11000.0
Verl,1,9000.0
Vierden,1,11000.0
Viereth-Trunstadt,1,11000.0
Viernheim,2,22000.0
Villingen-Schwenningen,10,78000.0
Villingen‑Schwenningen,1,11000.0
Voerde,1,11000.0
Volgodonsk,1,4000.0
"Vor Ebersbach 1, 77761 Schiltach",1,11000.0
Wadgassen,1,11000.0
Waiblingen,1,5000.0
Waldbronn,2,20000.0
Waldenburg,1,11000.0
Waldkirch,1,3500.0
Waldkraiburg,1,11500.0
Walldorf,2,13500.0
Wandlitz,1,11000.0
Wangen im Allgäu,2,13900.0
Warburg,1,11000.0
Waren,1,11000.0
